Table S1 Complied composational data for zircons from barren and fertile rocks from the lithature.,,,,,,,,,,,,,,,,,,,,,,,,,,,
CITATION,LOCATION,LATITUDE (MIN.),LONGITUDE (MIN.),ROCK NAME,AGE(MA),Cu_tonnage_Mt,Comment,Feature,Ti,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Y,Hf,U,Th
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,111,,Barren,0,13.8,,21.66,0.092,1.69,4.65,0.99,29,10.11,144.31,54.34,254.62,62.38,680.28,91.84,1532.39,9444.66,341.1,354.74
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,126,,Barren,0,23.19,0.033,13.16,0.375,6.81,14.62,3.58,70.94,22.59,289.52,98.8,425.05,99.14,1012.95,129.75,2632.67,7727.4,211.25,265.46
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,148,,Barren,0,6.41,,16.69,,0.54,2.38,0.336,12.87,4.95,72.03,27.91,136.06,35.14,403.99,55.25,841.96,9866.38,277.15,193.4
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,153,,Barren,0,8.37,,7.38,,0.47,1.72,0.781,13.06,5.48,82.31,33.81,177.12,47.74,584.61,92.97,1051.47,10201.45,79.34,44.11
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,142,,Barren,0,9.15,0.131,9.69,0.115,1.49,4.05,1.7,24.33,8.58,120.27,44.05,211.16,52.1,617.8,89.88,1326.34,8361.53,132.94,100.78
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,142,,Barren,0,12.6,4.13,33.33,1.474,8.02,6.41,0.93,29.25,10.41,146.2,56.02,264.24,66.18,708.95,95.75,1613.51,10111.45,319.72,311.87
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,113,,Barren,0,8.62,,9.41,0.035,0.84,2.34,1.075,17.65,6.63,97.92,39.47,203.66,55.49,673.34,107.3,1251.75,10013.32,133.9,88.61
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,115,,Barren,0,9.82,0.665,20.56,0.293,2.17,4.3,0.635,21.44,8.22,116.68,42.64,205.31,52.86,595.3,76.95,1240.48,9730.3,336.38,274.66
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,274,,Barren,0,7.32,,4.32,0.04,0.37,1.3,0.474,8.82,3.57,54.88,22.52,122.54,34.61,446.15,69.64,730.31,9483.02,61.94,21.32
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,131,,Barren,0,15.3,6.87,48.53,2.84,15.59,8.37,0.705,31.75,11.13,153.06,58.85,280.78,72.26,819.8,111.4,1731.6,10257.11,707.09,619.94
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,110,,Barren,0,13.53,0.147,20.04,0.137,2.08,4.66,0.911,27.92,10.28,144.27,52.85,253.79,60.01,626.65,92.37,1535.52,10000.96,269.93,308.31
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,148,,Barren,0,16.42,0.305,16.48,0.174,2.54,4.34,0.615,23.98,8.12,107.44,37.75,167.74,40.25,434.59,55.25,1083.29,9238.58,184.86,179.11
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,165,,Barren,0,11.94,221.09,543.55,70.39,302.49,67.77,5.02,81.42,16.43,175.59,57.4,250.15,59.6,643.45,85.83,1611.09,9531.34,306.59,266.84
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,173,,Barren,0,11.93,,9.06,,1.09,3.54,1.53,23.61,8.92,133.3,53.85,277.59,77.46,973.93,144.24,1697.93,9323.48,116.41,51.71
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,127,,Barren,0,14.36,0.102,27.64,0.11,2.22,5.54,0.748,30.54,11.02,158.21,57.89,268.34,66.74,740.1,93.62,1667,9879.38,352.98,418.91
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,128,,Barren,0,14.24,1.64,18.77,0.686,4.67,6.24,1.11,34.39,11.74,160.09,56.6,259.56,62.2,664.88,89.75,1617.25,8996.75,279.11,253.56
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,119,,Barren,0,299.19,1.21,25.31,0.416,3.09,4.61,0.671,25.9,9.49,134.01,48.39,229.39,58.08,649.6,86.75,1441.34,9712.91,303.94,309.32
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,128,,Barren,0,9.81,139.67,338.21,44.71,203.22,47.2,3.4,61.71,14.35,161.73,54.98,255.82,62,682.18,96.65,1636.83,11120.26,452.02,479.21
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,118,,Barren,0,9.02,0.436,5.45,0.028,0.48,1.45,0.728,11.54,4.28,65.82,27.02,146.66,40.92,524.53,88.64,864.64,10253.7,67.38,32.68
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,122,,Barren,0,7.39,,3.94,,0.4,1.29,0.513,8.69,3.34,47.05,19.08,102.46,27.74,334.58,58.02,607.19,10298.47,63.45,48.77
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,278,,Barren,0,11.3,,11.96,,0.85,2.31,1.06,17.48,7.09,106.69,41.77,218.8,60.85,769.93,120,1352.89,8505.37,169.59,107.41
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,108,,Barren,0,9.72,0.063,8.35,0.136,1.49,2.41,0.953,13.37,5.07,79.11,32.12,173.14,46.08,564.21,100.58,1034.71,9628.85,91.95,69.56
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,207,,Barren,0,9.13,0.697,10.29,0.242,1.56,2.24,0.977,12.24,4.96,76.62,30.57,159.2,44.31,566.4,86.55,960,9022.19,115.48,64.29
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,119,,Barren,0,9.08,,8.4,0.042,0.62,1.84,0.96,12.79,5.22,79.56,30.8,165.23,46.23,590.46,90.93,984.4,9252.68,105.67,60.14
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,238,,Barren,0,10.75,,12.49,0.069,1.09,2.61,1.21,18.34,7.63,120.15,47.68,247.74,66,781.62,133.68,1478.63,9390.01,142.39,96.85
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,112,,Barren,0,8.92,,10.15,,0.75,1.99,1.06,15.73,6.07,94.03,38.15,198.91,52.02,617.22,111.05,1206.77,10020.32,118.52,96.19
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,138,,Barren,0,8.56,,17.4,0.227,3.31,8.17,1.4,44.42,15.99,222.47,77.68,353.09,83.51,906.42,115.11,2139.4,9594.51,482.57,437.99
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,110.4,,Barren,0,7.75,,13.83,,0.56,2.28,0.83,13.98,5.68,85.81,33.95,177.2,48.12,610.05,97.95,1071.09,10717.79,259.96,239.29
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,112.3,,Barren,0,4.04,0.107,25.25,0.067,1.05,2.88,0.47,20.6,8.12,124.31,48.58,256.9,68.1,754.21,122.76,1497.6,13023.37,729.89,506.69
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,124,,Barren,0,17.49,0.218,8.23,,0.86,1.97,1.13,13.8,5.43,82.57,33.37,182.84,49.67,603.57,106.42,1085.86,9554.74,89.16,57.9
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,107,,Barren,0,9.73,,11.42,0.053,0.68,2.76,1.14,18.06,6.6,94.9,37.15,186.4,50.37,614.49,100.49,1169.31,10016.31,129.56,103
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,112,,Barren,0,9.87,,11.34,0.076,1.34,4.03,2.22,29.9,10.38,147.84,54.45,257.38,66.65,772.92,118.03,1674.64,9850.46,114.57,90.45
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,172,,Barren,0,6.76,,9.16,0.1,1.92,3.34,1.4,19.72,7.18,102.68,37.43,191.3,52.18,646.83,100.46,1180.57,9533.91,114.78,72.94
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,103,,Barren,0,6.83,,6.41,0.098,1.25,2.73,1.35,16.82,5.53,78.41,28.91,147.14,39.97,499.86,81.23,902.18,10003.6,71.58,48.16
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,263,,Barren,0,11.28,,6.98,,0.72,2.02,0.81,10.94,4.59,70.09,28.14,157.1,44.09,567.39,92.37,907.28,9788.11,82.01,39.56
[19321] DAI JIN-GEN (2015),CENTRAL ASIAN FOLDBELT - MESOZOIC / CHINA - MESOZOIC / TIBET / CHONGDOI FORMATION,29.1553,89.045,NOT GIVEN,113,,Barren,0,9.17,,7.53,,0.62,1.97,0.88,12.22,4.9,79.19,31.7,170.3,46.2,569.49,100.74,1022.7,10554.72,89.09,58.92
